Date;Suburb;Address;Rooms;Type;Price;Method;SellerG;;;;;;;
03/09/2016;Abbotsford;68 Studley St;2;h;825000;SS;Jellis;;;;;;;
03/12/2016;Abbotsford;85 Turner St;2;h;1480000;S;Biggin;;;;;;;
04/02/2016;Abbotsford;25 Bloomburg St;2;h;1035000;S;Biggin;;;;;;;
04/02/2016;Abbotsford;18/659 Victoria St;3;u;1801000;VB;Rounds;;;;;;;
04/03/2017;Abbotsford;5 Charles St;3;h;1465000;SP;Biggin;;;;;;;
04/03/2017;Abbotsford;40 Federation La;3;h;850000;PI;Biggin;;;;;;;
04/06/2016;Abbotsford;55a Park St;4;h;1600000;VB;Nelson;;;;;;;
06/08/2016;Abbotsford;16 Maugie St;4;h;1985000;SN;Nelson;;;;;;;
06/08/2016;Abbotsford;53 Turner St;2;h;956250;S;Biggin;;;;;;;
06/08/2016;Abbotsford;99 Turner St;2;h;897000;S;Collins;;;;;;;
07/05/2016;Abbotsford;129 Charles St;2;h;941000;S;Jellis;;;;;;;
07/05/2016;Abbotsford;124 Yarra St;3;h;1876000;S;Nelson;;;;;;;
07/11/2016;Abbotsford;121/56 Nicholson St;2;u;856000;PI;Biggin;;;;;;;
07/11/2016;Abbotsford;17 Raphael St;4;h;1985000;W;Biggin;;;;;;;
08/10/2016;Abbotsford;98 Charles St;2;h;1636000;S;Nelson;;;;;;;
08/10/2016;Abbotsford;217 Langridge St;3;h;1000000;S;Jellis;;;;;;;
08/10/2016;Abbotsford;18a Mollison St;2;t;745000;S;Jellis;;;;;;;
08/10/2016;Abbotsford;6/241 Nicholson St;1;u;300000;S;Biggin;;;;;;;
08/10/2016;Abbotsford;10 Valiant St;2;h;1097000;S;Biggin;;;;;;;
08/10/2016;Abbotsford;403/609 Victoria St;2;u;542000;S;Dingle;;;;;;;
10/12/2016;Abbotsford;2 Rich St;2;h;1636000;SP;Biggin;;;;;;;
10/12/2016;Abbotsford;25/84 Trenerry Cr;2;u;760000;SP;Biggin;;;;;;;
10/12/2016;Abbotsford;106/119 Turner St;1;u;481000;SP;Purplebricks;;;;;;;
12/11/2016;Abbotsford;411/8 Grosvenor St;2;u;700000;VB;Jellis;;;;;;;
12/11/2016;Abbotsford;40 Nicholson St;3;h;1350000;VB;Nelson;;;;;;;
12/11/2016;Abbotsford;123/56 Nicholson St;2;u;750000;S;Biggin;;;;;;;
